,report,tokens,similarity,scaled_similarity,labels
74,Emily did solo class presentation. Amazing accomplishment.,"['emily', 'solo', 'class', 'presentation', 'amazing', 'accomplishment']","[0.5512946968391449, 0.5546136305846328, 0.6517371252255255, 0.4935993795563885, 0.5666457252529372, 0.6703117820985405, 0.5376573044850179]","[0.69344757230317, 0.6859483805821727, 0.7612411773855154, 0.618213362290931, 0.6624991153660299, 0.7964361888469662, 0.6737492507016118]","['Strenghts', 'Activities', 'Presentation']"
75, Watched video montage of Emily's journey. She marveled at own transformation.,"[' ', 'watched', 'video', 'montage', 'emily', 'journey', 'marveled', 'transformation']","[0.5134791034820675, 0.47589292083819723, 0.5831243876083015, 0.47323529257866126, 0.5102104463002539, 0.5350350596048624, 0.44366313974288624]","[0.65462440474285, 0.6036652224992073, 0.6883425242582583, 0.5985227036332516, 0.6048292103478504, 0.6598087791436813, 0.5785119550162463]",['Activities']
76," Set goals - continue facing fears, join drama club. Determined.","[' ', 'set', 'goals', 'continue', 'facing', 'fears', 'join', 'drama', 'club', 'determined']","[0.5852485615813318, 0.6792933763096406, 0.660720710751682, 0.568804429786322, 0.5819884401443675, 0.6506516151246403, 0.6235365532651657]","[0.7283061177650687, 0.8162704173153245, 0.7707859253121152, 0.6909314259601194, 0.6781774805115559, 0.7765797224981191, 0.7607643056441227]","['Goals', 'Strenghts', 'Activities']"
77," Friends surprised Emily with ""Bravery Award"" at lunch. Tearful, grateful speech.","[' ', 'friends', 'surprised', 'emily', 'bravery', 'award', 'lunch', 'tearful', 'grateful', 'speech']","[0.4373868318273512, 0.3759839947671154, 0.5288992200496102, 0.38996557934647413, 0.40434129435861355, 0.485963629206995, 0.39344929748267576]","[0.5765046993450884, 0.49923499080686196, 0.6307301651263275, 0.5180066706006308, 0.49664397497498053, 0.6102473889643104, 0.5276340036460332]",[]
78," Graduation ceremony. Presented Emily with courage certificate. Mom proud, emotional.","[' ', 'graduation', 'ceremony', 'presented', 'emily', 'courage', 'certificate', 'mom', 'proud', 'emotional']","[0.5835358131630535, 0.5661913927652069, 0.6403703939738731, 0.558826891413018, 0.587717984470389, 0.6650237980119589, 0.5802648293214929]","[0.7265477341743735, 0.6980500859506802, 0.7491644198113219, 0.6812838388835416, 0.6840323692125784, 0.7910954062275795, 0.7169202863973422]","['Strenghts', 'Activities', 'Presentation']"
79," Group hug, promises to stay in touch. Emily at the center, shining bright.","[' ', 'group', 'hug', 'promises', 'stay', 'touch', 'emily', 'center', 'shining', 'bright']","[0.584864368832936, 0.5822341392541129, 0.6364813125393679, 0.5332635064456039, 0.579557025135198, 0.605023847546388, 0.591109254999368]","[0.7279116884272666, 0.7148188352376664, 0.745032405722928, 0.6565658199476205, 0.6756928738038237, 0.7304963788167886, 0.7279081363096764]","['Activities', 'Strenghts', 'Presentation']"
80, It's been a privilege to witness Emily's growth. She's taught me the meaning of courage. No doubt she'll continue to thrive. The world is hers.,"[' ', 'privilege', 'witness', 'emily', 'growth', 'taught', 'meaning', 'courage', 'doubt', 'continue', 'thrive', 'world']","[0.6981277395290796, 0.7412283153140914, 0.7908314694444597, 0.7143863782757169, 0.7338869285292043, 0.8151834870609441, 0.7524212540826948]","[0.8441928948984073, 0.8810081768372754, 0.909024092093673, 0.8316990654599816, 0.8333990291620578, 0.9427543833111819, 0.8913535863165318]","['Strenghts', 'Activities', 'Boundaries']"
81,"Ryan arrived sullen, with his hood up and headphones blasting. He barely acknowledged me when I greeted him. I tried to engage him in a conversation about music, but I only got shrugs in response. When I mentioned skateboarding, I noticed a glimmer of interest.","['ryan', 'arrived', 'sullen', 'hood', 'headphones', 'blasting', 'barely', 'acknowledged', 'greeted', 'tried', 'engage', 'conversation', 'music', 'got', 'shrugs', 'response', 'mentioned', 'skateboarding', 'noticed', 'glimmer', 'interest']","[0.6893545568394696, 0.6553116709590662, 0.7446090267223721, 0.6722251430265885, 0.6793845805976906, 0.6994195115116686, 0.6936333403932028]","[0.8351859559253796, 0.7912034373704471, 0.8599143504376846, 0.7909320773409119, 0.7777043416047684, 0.8258345479936824, 0.8317881661212257]","['Activities', 'Presentation', 'Boundaries']"
82," During the skate park session, Ryan came alive. He showed off impressive tricks and was focused on his technique. I praised his skills and received a half-smile in return.","[' ', 'skate', 'park', 'session', 'ryan', 'came', 'alive', 'showed', 'impressive', 'tricks', 'focused', 'technique', 'praised', 'skills', 'received', 'half', 'smile', 'return']","[0.6489098275945998, 0.6324972507372535, 0.6958254904681458, 0.5842056720517753, 0.6496019081748103, 0.7226093483825091, 0.6278339656258868]","[0.7936636007006802, 0.7673565671919472, 0.8080835357636308, 0.7058233582468431, 0.7472701181599777, 0.8492559266662233, 0.7651185539403096]","['Strenghts', 'Activities', 'Presentation']"
83," At lunch, Ryan sat alone and inhaled his food. He became defensive when approached, so I gave him space. The graffiti art project made Ryan perk up. He was artistic and creative, and he opened up about his pieces and their meanings.","[' ', 'lunch', 'ryan', 'sat', 'inhaled', 'food', 'defensive', 'approached', 'gave', 'space', 'graffiti', 'art', 'project', 'ryan', 'perk', 'artistic', 'creative', 'opened', 'pieces', 'meanings']","[0.667640666386608, 0.6277552290577231, 0.6948471016720514, 0.5585091177392701, 0.6554530549270364, 0.6842807326816742, 0.6403405500465272]","[0.8128935116556905, 0.7623999487779813, 0.8070440316140081, 0.6809765737973626, 0.7532492695650983, 0.8105446141493011, 0.7777905456724584]","['Presentation', 'Strenghts', 'Activities']"
84," We ended the day with a quick game of HORSE. Ryan was competitive but played fair. We high-fived at the end. Despite his tough exterior, there were glimmers of engagement. Skateboarding and art seem to be promising inroads for building trust slowly.","[' ', 'ended', 'day', 'quick', 'game', 'horse', 'ryan', 'competitive', 'played', 'fair', 'high', 'fived', 'end', 'despite', 'tough', 'exterior', 'glimmers', 'engagement', 'skateboarding', 'art', 'promising', 'inroads', 'building', 'trust', 'slowly']","[0.7002329717726601, 0.7199220903280341, 0.7458088186045767, 0.6503853924359142, 0.6949570431897656, 0.7474099028360143, 0.7000762525998466]","[0.8463542198146702, 0.8587377541705341, 0.8611890876844868, 0.7698145543937663, 0.7936174806066518, 0.8743041053308567, 0.8383162898253129]","['Strenghts', 'Activities', 'Goals']"
85,,['nan'],"[-0.12415589250099712, -0.10163662313558365, -0.06474855628907049, -0.1457571244260627, -0.08167027890558848, -0.11825090482169094, -0.12729750769856996]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[]
86,"Ryan arrived agitated and snappy, mentioning trouble at school.","['ryan', 'arrived', 'agitated', 'snappy', 'mentioning', 'trouble', 'school']","[0.5395660867033358, 0.4922571093262993, 0.5517497318854672, 0.5255432514109598, 0.5128409799240351, 0.49767642146131247, 0.5346172966696473]","[0.6814064602610403, 0.6207699604087498, 0.6550080411294016, 0.6491008691838729, 0.6075172917580226, 0.6220771290452388, 0.6706690369033131]","['Presentation', 'Boundaries']"
87," I skipped the small talk and we hit the skate park. Ryan vented through tricks, pushing his limits. I validated his feelings.","[' ', 'skipped', 'small', 'talk', 'hit', 'skate', 'park', 'ryan', 'vented', 'tricks', 'pushing', 'limits', 'validated', 'feelings']","[0.5358610184417668, 0.5586681307712648, 0.6016875014311958, 0.5726236994892224, 0.563255680179471, 0.5737575875968082, 0.6085100089968425]","[0.6776026726387473, 0.6901863642192443, 0.7080651886283396, 0.6946243946713453, 0.6590349067890144, 0.6989179370178288, 0.74553902603727]","['Boundaries', 'Activities', 'Strenghts']"
88," During the group activity, Ryan struggled to share the spotlight. He got frustrated and lashed out, so I removed him for a cool-down period.","[' ', 'group', 'activity', 'ryan', 'struggled', 'share', 'spotlight', 'got', 'frustrated', 'lashed', 'removed', 'cool', 'period']","[0.6657502033463092, 0.6521873113442274, 0.6973219774012662, 0.6602808932811844, 0.6526387093040882, 0.666847926339682, 0.6826106020756884]","[0.8109526783415841, 0.7879376871387241, 0.8096735012078843, 0.7793828168748738, 0.7503733549284428, 0.7929377477907767, 0.8206196452743462]","['Boundaries', 'Presentation', 'Activities']"
89," At lunch, we processed the earlier incident. Ryan was defensive at first, but then showed remorse. We brainstormed better responses together.","[' ', 'lunch', 'processed', 'earlier', 'incident', 'ryan', 'defensive', 'showed', 'remorse', 'brainstormed', 'better', 'responses']","[0.7642522856320083, 0.7020542533199658, 0.6856380431427294, 0.7638718053083848, 0.7300826779638968, 0.7091707722118457, 0.7411758084774943]","[0.9120792905702512, 0.840061321223331, 0.7972597264445678, 0.8795480386693132, 0.8295115535822776, 0.8356831713654447, 0.8799594127403916]","['Presentation', 'Boundaries', 'Triggers']"
90," We had an Anger Management 101 session, covering deep breathing, counting, and walking away. Ryan rolled his eyes but tried the techniques.","[' ', 'anger', 'management', '101', 'session', 'covering', 'deep', 'breathing', 'counting', 'walking', 'away', 'ryan', 'rolled', 'eyes', 'tried', 'techniques']","[0.7059610368784177, 0.7071094665297083, 0.7398897527056505, 0.7432204516013378, 0.7828697689879668, 0.7154302679112992, 0.7370300222841948]","[0.8522349058400722, 0.8453453044219095, 0.8549002855350899, 0.8595796130232619, 0.8834534598160797, 0.8420051657758663, 0.8757587959614375]","['Restorative', 'Boundaries', 'Triggers']"
91, We ended the day with a rap cypher. Ryan's lyrics were raw and revealing. I thanked him for sharing.,"[' ', 'ended', 'day', 'rap', 'cypher', 'ryan', 'lyrics', 'raw', 'revealing', 'thanked', 'sharing']","[0.4958682800951946, 0.44170159051016167, 0.5266669444522408, 0.44045006115316004, 0.4671853745290927, 0.5021388104012551, 0.42641360338360557]","[0.6365443513435078, 0.5679265884407659, 0.6283584497552706, 0.5668216604331003, 0.5608628855862848, 0.6265840732608738, 0.5610342828736061]",[]
92," It was a challenging day, but there was progress. Ryan is recognizing his patterns and is open to new strategies, which is a good sign.","[' ', 'challenging', 'day', 'progress', 'ryan', 'recognizing', 'patterns', 'open', 'new', 'strategies', 'good', 'sign']","[0.7412050507243794, 0.7790710414788201, 0.8248383302972776, 0.717907558343332, 0.7602512958192229, 0.7653278398893935, 0.767457772498725]","[0.8884179756684324, 0.9205634479893338, 0.9451552018460136, 0.8351038021839735, 0.8603401657293906, 0.8924009462485106, 0.9065889719853618]","['Activities', 'Goals', 'Boundaries']"
93,Ryan arrived calm and even chatty. He was in a good mood.,"['ryan', 'arrived', 'calm', 'chatty', 'good', 'mood']","[0.2700287461187212, 0.18558827571178718, 0.3703845612772944, 0.28457930386273594, 0.2627080613197154, 0.22783895662370826, 0.2618710241372508]","[0.4046874560537171, 0.30022305227363744, 0.4623138400134261, 0.41610545695800183, 0.3519122531096708, 0.3495454385810054, 0.3943155262836703]",[]
94," He went skateboarding with a peer and was patient, teaching him tricks. I praised his leadership.","[' ', 'went', 'skateboarding', 'peer', 'patient', 'teaching', 'tricks', 'praised', 'leadership']","[0.6660850918779214, 0.6612353076385677, 0.730813888933204, 0.6432404868215679, 0.7168181952429115, 0.7271007498261955, 0.6885482690402461]","[0.8112964897807977, 0.7973951439098759, 0.8452574951734978, 0.7629059265850507, 0.8159568857781924, 0.8537921730645432, 0.8266358415556387]","['Strenghts', 'Activities', 'Boundaries']"
95," During the group mural project, Ryan contributed ideas and compromised. There were a few tense moments, but he used deep breathing techniques.","[' ', 'group', 'mural', 'project', 'ryan', 'contributed', 'ideas', 'compromised', 'tense', 'moments', 'deep', 'breathing', 'techniques']","[0.7626415103883516, 0.805270359400536, 0.8197236343552353, 0.8059115297422628, 0.8533966172146688, 0.8410916468470843, 0.7961873267447465]","[0.9104255971693305, 0.9479483969457427, 0.9397210148673449, 0.9201975342639732, 0.9555232132388556, 0.9689212263312333, 0.9356984923491367]","['Strenghts', 'Restorative', 'Goals']"
96," At lunch, he sat with the group, cracked jokes, and laughed. He seemed to enjoy the social connection.","[' ', 'lunch', 'sat', 'group', 'cracked', 'jokes', 'laughed', 'enjoy', 'social', 'connection']","[0.5095175475414477, 0.4400497790406672, 0.593962407823132, 0.46927431452065527, 0.5034287476517513, 0.47944249954331697, 0.5145964325754216]","[0.6505572954784259, 0.5662000254472987, 0.6998575447000136, 0.594692712778466, 0.5978991495033037, 0.6036611482729067, 0.6503833845029826]",['Activities']
97," We worked on problem-solving scenarios. Ryan brainstormed solutions and considered consequences, demonstrating thinking before acting.","[' ', 'worked', 'problem', 'solving', 'scenarios', 'ryan', 'brainstormed', 'solutions', 'considered', 'consequences', 'demonstrating', 'thinking', 'acting']","[0.8074124943088741, 0.8434692305257151, 0.8208127792233552, 0.8537742011886369, 0.860213318269826, 0.8523539253729433, 0.856578724397745]","[0.9563894775763936, 0.9878759301388267, 0.9408781935006965, 0.966477415455111, 0.9624890422324156, 0.9802959544735194, 0.9968886035747654]","['Boundaries', 'Goals', 'Strenghts']"
98, We ended with a guided meditation. Ryan was fidgety but tried to focus. It was a small victory.,"[' ', 'ended', 'guided', 'meditation', 'ryan', 'fidgety', 'tried', 'focus', 'small', 'victory']","[0.667465924355, 0.7151478984198887, 0.70727938947392, 0.6616582321194427, 0.7189950237632475, 0.713065680990266, 0.6878435298325238]","[0.812714113725612, 0.8537475096877075, 0.8202529060522019, 0.7807146079318346, 0.8181813364469646, 0.839616969343519, 0.8259217817361696]","['Goals', 'Strenghts', 'Boundaries']"
99," The positive peer interactions were a highlight. Ryan's impulsivity is decreasing, and he's using coping tools. This shows promising growth.","[' ', 'positive', 'peer', 'interactions', 'highlight', 'ryan', 'impulsivity', 'decreasing', 'coping', 'tools', 'shows', 'promising', 'growth']","[0.8373321585994219, 0.8386949930436131, 0.8301261969154105, 0.888443271393868, 0.8969212227605412, 0.8716223986994314, 0.8557362810282774]","[0.9871063336926565, 0.9828856380196273, 0.95077337665969, 0.9999999999999999, 0.9999999999999999, 0.9997568162611631, 0.9960350183708725]","['Triggers', 'Restorative', 'Strenghts']"
100,,['nan'],"[-0.12415589250099712, -0.10163662313558365, -0.06474855628907049, -0.1457571244260627, -0.08167027890558848, -0.11825090482169094, -0.12729750769856996]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[]
101,"Ryan arrived excited, with a new skateboard in tow. He was eager to show off.","['ryan', 'arrived', 'excited', 'new', 'skateboard', 'tow', 'eager']","[0.29337162130100414, 0.3062624869388869, 0.4396848250856716, 0.19035421863460067, 0.23504253502888026, 0.2922251541529152, 0.25302175014126194]","[0.4286522883911104, 0.42635828696499145, 0.5359429658643399, 0.32499633960610586, 0.3236414922827758, 0.41457450808311946, 0.38534921516777354]",[]
102," I put Ryan in charge of the skate lesson. He thrived, patiently demonstrating and offering feedback. He's a natural leader.","[' ', 'ryan', 'charge', 'skate', 'lesson', 'thrived', 'patiently', 'demonstrating', 'offering', 'feedback', 'natural', 'leader']","[0.7920455516632464, 0.7919120820643095, 0.8090765238760018, 0.7639131117564745, 0.8181955914267176, 0.831801699915536, 0.8272913920574679]","[0.9406130917985045, 0.9339856005061109, 0.9284088293958475, 0.8795879791375789, 0.9195520999315986, 0.9595385227726242, 0.9672139281565766]","['Boundaries', 'Strenghts', 'Presentation']"
103," During a group game, a conflict arose. Ryan started to argue, then paused, took a breath, and calmly expressed his frustration.","[' ', 'group', 'game', 'conflict', 'arose', 'ryan', 'started', 'argue', 'paused', 'took', 'breath', 'calmly', 'expressed', 'frustration']","[0.6499503414891499, 0.6353202338381589, 0.6484426872766699, 0.6563025848111224, 0.6298322186179508, 0.6465873473527709, 0.6494231591112071]","[0.7947318384748575, 0.7703073023352855, 0.7577409513688435, 0.7755360687145155, 0.7270679300935577, 0.7724748745407256, 0.7869932778575955]","['Presentation', 'Boundaries', 'Triggers']"
104," At lunch, he was reflective. He recognized his own growth in handling conflict and was proud of himself. For the art project, they designed skateboards. Ryan helped others and gave compliments. He was socially engaged and supportive.","[' ', 'lunch', 'reflective', 'recognized', 'growth', 'handling', 'conflict', 'proud', 'art', 'project', 'designed', 'skateboards', 'ryan', 'helped', 'gave', 'compliments', 'socially', 'engaged', 'supportive']","[0.7756409127806179, 0.7927626675279056, 0.8428443525751322, 0.7185371418593519, 0.8114035401951265, 0.8396976991051752, 0.7921368885999792]","[0.9237713609788126, 0.9348746785948322, 0.964285975778367, 0.8357125657452374, 0.9126114600220683, 0.9675133605452503, 0.9315944846556083]","['Strenghts', 'Activities', 'Goals']"
105, We ended with a progress review. Ryan was surprised by his own improvements. He set new goals and beamed with pride.,"[' ', 'ended', 'progress', 'review', 'ryan', 'surprised', 'improvements', 'set', 'new', 'goals', 'beamed', 'pride']","[0.6743986489662301, 0.780259776395823, 0.7614487308735685, 0.6249622651295641, 0.6736475679442312, 0.7479172746256411, 0.7118339168869389]","[0.8198315566991987, 0.9218059782384836, 0.8778059518270969, 0.745232154880958, 0.771841821192838, 0.8748165430370295, 0.8502294564921066]","['Goals', 'Activities', 'Strenghts']"
106, The leadership role was a game-changer. Ryan rose to the occasion and handled conflict maturely. His confidence is soaring,"[' ', 'leadership', 'role', 'game', 'changer', 'ryan', 'rose', 'occasion', 'handled', 'conflict', 'maturely', 'confidence', 'soaring']","[0.7646409414178391, 0.7732354883144997, 0.7455284417074414, 0.7493603392939273, 0.746618548686558, 0.8103780519302244, 0.7604675586561108]","[0.9124783018604911, 0.9144638111203577, 0.8608911969592515, 0.8655164582588719, 0.8464091770487675, 0.9379009677175414, 0.899506308242784]","['Strenghts', 'Goals', 'Presentation']"
107,Ryan arrived pensive. He shared worries about transitioning to high school.,"['ryan', 'arrived', 'pensive', 'shared', 'worries', 'transitioning', 'high', 'school']","[0.7212838539831578, 0.7019457178092574, 0.6791545304040711, 0.6639898316471914, 0.677165064651198, 0.695863372068074, 0.7122316486531719]","[0.8679659903780363, 0.8399478740172018, 0.790371219112032, 0.7829691028413053, 0.7754362696434712, 0.8222429018348637, 0.8506324485068568]","['Presentation', 'Boundaries', 'Goals']"
108," We did a career exploration activity. Ryan liked the idea of teaching skateboarding, maybe art. We discussed paths and steps to get there.","[' ', 'career', 'exploration', 'activity', 'ryan', 'liked', 'idea', 'teaching', 'skateboarding', 'maybe', 'art', 'discussed', 'paths', 'steps']","[0.7145805145710189, 0.7628280451323419, 0.8350418688618797, 0.6862898131114695, 0.7636060757454892, 0.7875319292842563, 0.7433646706905859]","[0.861084044437012, 0.903585386683442, 0.955996107548409, 0.8045316370990865, 0.8637683376689125, 0.9148267351271705, 0.8821772240095764]","['Activities', 'Strenghts', 'Goals']"
109, We role-played tough conversations. Ryan practiced expressing needs and setting boundaries. He found his voice.,"[' ', 'role', 'played', 'tough', 'conversations', 'ryan', 'practiced', 'expressing', 'needs', 'setting', 'boundaries', 'found', 'voice']","[0.7544458954416119, 0.760379516571764, 0.7813556805779209, 0.7642474037250659, 0.7979274119701512, 0.816280171467411, 0.8005014378307561]","[0.9020116148913665, 0.901026051747697, 0.8989563951954292, 0.8799112162683541, 0.8988405165772998, 0.9438620176990905, 0.9400696602215786]","['Strenghts', 'Boundaries', 'Presentation']"
110," Over lunch, we talked about making good choices. Ryan recognized past mistakes and is determined to do better. During the skate competition, Ryan got frustrated with a trick and wanted to quit. I coached him through it, and he persevered.","[' ', 'lunch', 'talked', 'making', 'good', 'choices', 'ryan', 'recognized', 'past', 'mistakes', 'determined', 'better', 'skate', 'competition', 'ryan', 'got', 'frustrated', 'trick', 'wanted', 'quit', 'coached', 'persevered']","[0.5908062590612951, 0.6072585815295337, 0.7055665251024755, 0.6086226037781788, 0.6167428722447235, 0.6455906517296033, 0.6321881724753957]","[0.7340118968196715, 0.7409757404068266, 0.8184330470871717, 0.7294328364728162, 0.7136922300686324, 0.7714682272865215, 0.7695303478675134]","['Activities', 'Strenghts', 'Boundaries']"
111, We ended with a letter to his future self. Ryan wrote about his hopes and promises. It was insightful and mature. Ryan is grappling with big questions and envisioning a positive future. He's building crucial life skills and making inspiring progress.,"[' ', 'ended', 'letter', 'future', 'self', 'ryan', 'wrote', 'hopes', 'promises', 'insightful', 'mature', 'ryan', 'grappling', 'big', 'questions', 'envisioning', 'positive', 'future', 'building', 'crucial', 'life', 'skills', 'making', 'inspiring', 'progress']","[0.7902837791979215, 0.8550683889285149, 0.8764586495210088, 0.7957514148367208, 0.8494063879253073, 0.8515459554210184, 0.8222258841542176]","[0.938804377943915, 1.0, 0.9999999999999999, 0.9103734083531657, 0.9514456903065925, 0.9794799172454238, 0.9620814257794139]","['Goals', 'Activities', 'Strenghts']"
112,Ryan arrived with a mix of excitement and nervousness. It was the last session jitters.,"['ryan', 'arrived', 'mix', 'excitement', 'nervousness', 'session', 'jitters']","[0.6268796514107507, 0.5518030533032934, 0.6393514607307255, 0.6538551407711365, 0.6265890385461672, 0.6002239081419287, 0.5819523100953174]","[0.7710464434530637, 0.6830106126747217, 0.7480818385934374, 0.7731695602023567, 0.723753799461663, 0.7256485138221688, 0.7186300851477327]","['Triggers', 'Presentation', 'Activities']"
113," We reviewed Ryan's journey, including his struggles, triumphs, and lessons. He reflected thoughtfully and was amazed at his progress.","[' ', 'reviewed', 'ryan', 'journey', 'including', 'struggles', 'triumphs', 'lessons', 'reflected', 'thoughtfully', 'amazed', 'progress']","[0.7100290109433574, 0.7405407134462505, 0.7870790985090528, 0.6890318717908365, 0.717761179647622, 0.8105649819560808, 0.7099210293515628]","[0.8564112686770348, 0.8802894580481291, 0.9050373281672565, 0.8071830175186356, 0.8169204997101599, 0.9380897641694197, 0.8482912698363789]","['Strenghts', 'Activities', 'Goals']"
114," We created a transitional game plan. Ryan identified supports, coping strategies, and goals. He felt empowered and ready.","[' ', 'created', 'transitional', 'game', 'plan', 'ryan', 'identified', 'supports', 'coping', 'strategies', 'goals', 'felt', 'empowered', 'ready']","[0.7671805130075613, 0.8494282909604176, 0.8234282198136171, 0.7723101542275213, 0.8376370317728985, 0.8214686358413364, 0.8231059311402967]","[0.9150855388388515, 0.9941046635096761, 0.9436570083823896, 0.8877073363772263, 0.9394188577289843, 0.9491022869389099, 0.9629731119309975]","['Goals', 'Boundaries', 'Strenghts']"
115," For lunch, we had Ryan's favorite foods. He shared funny stories and favorite memories. There was laughter all around. We had a surprise party with Ryan's family and friends. They shared stories of his growth and impact. Ryan choked up, feeling grateful.","[' ', 'lunch', 'ryan', 'favorite', 'foods', 'shared', 'funny', 'stories', 'favorite', 'memories', 'laughter', 'surprise', 'party', 'ryan', 'family', 'friends', 'shared', 'stories', 'growth', 'impact', 'ryan', 'choked', 'feeling', 'grateful']","[0.6403728726081979, 0.5874548604602962, 0.7343870637074307, 0.6100206637639095, 0.6261676793480984, 0.6406896885705174, 0.6015766107060692]","[0.7848991835788222, 0.7202758163764184, 0.8490538693960594, 0.7307846634411499, 0.7233232222521211, 0.7665183298530704, 0.738513929267334]","['Activities', 'Presentation', 'Strenghts']"
116," We ended with a group skate session. Ryan was in his element, joyful, and free. It was a fitting finale.","[' ', 'ended', 'group', 'skate', 'session', 'ryan', 'element', 'joyful', 'free', 'fitting', 'finale']","[0.63862772207188, 0.6413333550225253, 0.7055815311868103, 0.6273437939366692, 0.6668135104311808, 0.679586564220602, 0.656499957332881]","[0.7831075345347441, 0.7765925429356175, 0.8184489905311256, 0.7475349279380278, 0.7648582560367795, 0.8058035761811679, 0.7941636711111794]","['Activities', 'Strenghts', 'Boundaries']"
117, Ryan's transformation has been remarkable. He went from angry and closed-off to expressive and hopeful. He has built skills for a bright future.,"[' ', 'ryan', 'transformation', 'remarkable', 'went', 'angry', 'closed', 'expressive', 'hopeful', 'built', 'skills', 'bright', 'future']","[0.7302491982541994, 0.7570716286339952, 0.778373568898182, 0.7031790794167442, 0.7442502329999582, 0.7788724230523292, 0.7420157183224336]","[0.8771702109646072, 0.897568467752572, 0.8957880050032055, 0.8208623853501394, 0.8439890500779451, 0.9060807669815204, 0.8808104309123279]","['Strenghts', 'Goals', 'Activities']"
118, It's been an honor guiding Ryan's journey. He has shown incredible resilience and growth. There's no doubt he'll continue to soar.,"[' ', 'honor', 'guiding', 'ryan', 'journey', 'shown', 'incredible', 'resilience', 'growth', 'doubt', 'continue', 'soar']","[0.7296438718859535, 0.767455933795578, 0.7516494299400203, 0.7080427587045189, 0.7060368216888331, 0.8151120930578464, 0.734317811626675]","[0.8765487560319506, 0.9084227070746579, 0.8673945345822468, 0.8255652256385719, 0.8049396497448503, 0.9426822764658076, 0.8730107146410719]","['Strenghts', 'Goals', 'Presentation']"
